Metabolite,Param,mean,sd,X2.5.,X50.,X97.5.,Rhat,Z.x,P_GT_LT_0,SIG_BAYES,Estimate,StdErr,Z.y,P-value,P.Bon,P.BH,SIG_BH,SIG_BON,SIG.RAW
X44,beta_x[27],-0.031511226414931884,0.10314715900344766,-0.24245857802497206,-0.027176607580635236,0.17095728283036238,0.9995595813615105,-0.30549776377145427,0.61275,FALSE,-0.06956608035213485,0.1617549026095998,-0.4300709235381547,0.667144050266823,1,0.952655248738891,FALSE,FALSE,FALSE
X40,beta_x[26],-0.026116098059559993,0.09802834570854349,-0.23318565730923008,-0.024241623933536516,0.1605442890433588,0.9995885083574255,-0.26641373850384065,0.60975,FALSE,-0.0554042015664404,0.140852330598603,-0.39334955503384417,0.6940613221848726,1,0.952655248738891,FALSE,FALSE,FALSE
X54,beta_x[33],-0.023817474011077217,0.10614863936358288,-0.25148170278833853,-0.01961997116500421,0.17970021939308173,1.000331343992507,-0.22437851444799997,0.5865,FALSE,-0.07132784615854042,0.1803732185931562,-0.39544588001961156,0.6925138550035029,1,0.952655248738891,FALSE,FALSE,FALSE
X10,beta_x[8],0.0228901274304777,0.10353742484437833,-0.18159053051286805,0.019201357490834618,0.23469155306302888,0.9994495770709214,0.22108071033138643,0.5855,FALSE,0.04637831690320567,0.1711113498596783,0.2710417335918319,0.786358934415301,1,0.952655248738891,FALSE,FALSE,FALSE
X11,beta_x[9],0.01949199632364588,0.09151373456038125,-0.16373554968561,0.01736949310704035,0.2079445817082141,1.000175358117753,0.2129953106742131,0.58375,FALSE,0.0370212563683336,0.13061370438722586,0.2834408268414008,0.7768389356874362,1,0.952655248738891,FALSE,FALSE,FALSE
X62,beta_x[35],-0.015891767066971582,0.1017825943935873,-0.22329250377375315,-0.01219387752917184,0.1860568712648199,0.9998296341609639,-0.15613442712532022,0.56025,FALSE,-0.005997136605204154,0.15184761065746988,-0.039494441692152736,0.9684961849482768,1,0.9826426594133125,FALSE,FALSE,FALSE
X65,beta_x[37],0.015963418379669275,0.10327348125611387,-0.18013485442824115,0.013160406710083054,0.23421201876166295,1.000344596687421,0.15457422549822517,0.55725,FALSE,0.08124035517232714,0.1683382413687255,0.4826019002680414,0.6293784295936377,1,0.952655248738891,FALSE,FALSE,FALSE
X67,beta_x[38],-0.013462900229907452,0.09746750375612234,-0.21467269017311516,-0.011187472330834763,0.18453399984331825,0.9997015544350639,-0.13812706503280886,0.556,FALSE,-0.04774311559469382,0.16332613245067276,-0.29231767677541154,0.7700437446522701,1,0.952655248738891,FALSE,FALSE,FALSE
X36,beta_x[24],0.016160168090509557,0.10734814287742359,-0.19707723399489285,0.012845031829709832,0.24191125885765927,0.9995264849031087,0.15053980122378258,0.555,FALSE,0.06522113333034046,0.21202274159399545,0.3076138570796952,0.7583761747624083,1,0.952655248738891,FALSE,FALSE,FALSE
X7,beta_x[6],-0.013262895265466404,0.08909177248071701,-0.19012888342828066,-0.012160672548182748,0.16396374297996494,1.0002506041595134,-0.1488677898774213,0.55425,FALSE,-0.012583741084763189,0.1332790058374317,-0.09441652873755918,0.9247782864231868,1,0.9759005031342727,FALSE,FALSE,FALSE
X17,beta_x[13],-0.011879654206271437,0.10766262558537522,-0.23682124064222357,-0.00915527566945986,0.20025014846132078,0.9995373578097132,-0.11034148704511212,0.5405,FALSE,-0.04469831490905788,0.18781971024825903,-0.23798521917628296,0.8118925582867812,1,0.952655248738891,FALSE,FALSE,FALSE
X2,beta_x[1],0.00937823124435866,0.10659922256672634,-0.20241877229685393,0.007898859248533802,0.23429237045382545,0.9995735883181256,0.08797654446765132,0.53625,FALSE,-0.0385206455363261,0.17440349006366712,-0.2208708410724114,0.8251930021794138,1,0.952655248738891,FALSE,FALSE,FALSE
X19,beta_x[14],-0.010466407737094516,0.108146214672839,-0.23957741624481124,-0.006274170401830379,0.2010557512947322,1.000533207017376,-0.09678015794410567,0.52725,FALSE,-0.03206110179612352,0.1814034890750249,-0.17673916835669948,0.8597132732521698,1,0.952655248738891,FALSE,FALSE,FALSE
